"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","ITEM","ITEM_NAME","ITEM_CODE","ITEM_TYPE","ITEM_TYPECODE","ITEM_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"1","total workforce jobs","1","item",0,0,"20100","Value",168789,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994950d1d20100",25,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"2","employee jobs","2","item",0,1,"20100","Value",129164,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994950d2d20100",26,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"3","self-employment jobs","3","item",0,2,"20100","Value",39386,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994950d3d20100",27,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"4","government-supported trainees","4","item",0,3,"20100","Value",239,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994950d4d20100",28,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994950d5d20100",29,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"1","total workforce jobs","1","item",0,0,"20100","Value",361491,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994951d1d20100",30,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"2","employee jobs","2","item",0,1,"20100","Value",339742,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994951d2d20100",31,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"3","self-employment jobs","3","item",0,2,"20100","Value",21618,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994951d3d20100",32,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"4","government-supported trainees","4","item",0,3,"20100","Value",131,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994951d4d20100",33,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994951d5d20100",34,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"1","total workforce jobs","1","item",0,0,"20100","Value",124903,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994952d1d20100",35,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"2","employee jobs","2","item",0,1,"20100","Value",105266,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994952d2d20100",36,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"3","self-employment jobs","3","item",0,2,"20100","Value",19619,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994952d3d20100",37,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"4","government-supported trainees","4","item",0,3,"20100","Value",18,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994952d4d20100",38,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994952d5d20100",39,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"1","total workforce jobs","1","item",0,0,"20100","Value",213769,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994953d1d20100",40,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"2","employee jobs","2","item",0,1,"20100","Value",202072,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994953d2d20100",41,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"3","self-employment jobs","3","item",0,2,"20100","Value",11645,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994953d3d20100",42,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"4","government-supported trainees","4","item",0,3,"20100","Value",52,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994953d4d20100",43,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994953d5d20100",44,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"1","total workforce jobs","1","item",0,0,"20100","Value",103673,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994954d1d20100",45,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"2","employee jobs","2","item",0,1,"20100","Value",88691,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994954d2d20100",46,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"3","self-employment jobs","3","item",0,2,"20100","Value",14981,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994954d3d20100",47,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"4","government-supported trainees","4","item",0,3,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994954d4d20100",48,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994954d5d20100",49,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"1","total workforce jobs","1","item",0,0,"20100","Value",91068,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994955d1d20100",50,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"2","employee jobs","2","item",0,1,"20100","Value",88855,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994955d2d20100",51,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"3","self-employment jobs","3","item",0,2,"20100","Value",2158,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994955d3d20100",52,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"4","government-supported trainees","4","item",0,3,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994955d4d20100",53,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994955d5d20100",54,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"1","total workforce jobs","1","item",0,0,"20100","Value",39917,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994956d1d20100",55,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"2","employee jobs","2","item",0,1,"20100","Value",36415,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994956d2d20100",56,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"3","self-employment jobs","3","item",0,2,"20100","Value",3502,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994956d3d20100",57,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"4","government-supported trainees","4","item",0,3,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994956d4d20100",58,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994956d5d20100",59,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"1","total workforce jobs","1","item",0,0,"20100","Value",204166,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994957d1d20100",60,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"2","employee jobs","2","item",0,1,"20100","Value",173454,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994957d2d20100",61,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"3","self-employment jobs","3","item",0,2,"20100","Value",30618,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994957d3d20100",62,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"4","government-supported trainees","4","item",0,3,"20100","Value",94,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994957d4d20100",63,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994957d5d20100",64,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"1","total workforce jobs","1","item",0,0,"20100","Value",224971,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994958d1d20100",65,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"2","employee jobs","2","item",0,1,"20100","Value",203121,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994958d2d20100",66,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"3","self-employment jobs","3","item",0,2,"20100","Value",21831,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994958d3d20100",67,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"4","government-supported trainees","4","item",0,3,"20100","Value",19,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994958d4d20100",68,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994958d5d20100",69,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"1","total workforce jobs","1","item",0,0,"20100","Value",168412,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994959d1d20100",70,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"2","employee jobs","2","item",0,1,"20100","Value",154936,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994959d2d20100",71,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"3","self-employment jobs","3","item",0,2,"20100","Value",3145,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994959d3d20100",72,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"4","government-supported trainees","4","item",0,3,"20100","Value",148,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994959d4d20100",73,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"5","HM forces","5","item",0,4,"20100","Value",10183,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994959d5d20100",74,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994960","P : Education","P","SIC 2007 section",36,15,"1","total workforce jobs","1","item",0,0,"20100","Value",211981,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994960d1d20100",75,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994960","P : Education","P","SIC 2007 section",36,15,"2","employee jobs","2","item",0,1,"20100","Value",197227,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994960d2d20100",76,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994960","P : Education","P","SIC 2007 section",36,15,"3","self-employment jobs","3","item",0,2,"20100","Value",14642,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994960d3d20100",77,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994960","P : Education","P","SIC 2007 section",36,15,"4","government-supported trainees","4","item",0,3,"20100","Value",112,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994960d4d20100",78,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994960","P : Education","P","SIC 2007 section",36,15,"5","HM forces","5","item",0,4,"20100","Value",,"Q","These figures are missing.","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994960d5d20100",79,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994961","Q : Human health and social work activities","Q","SIC 2007 section",36,16,"1","total workforce jobs","1","item",0,0,"20100","Value",401043,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994961d1d20100",80,100
"2019-12","December 2019","2019-12","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"150994961","Q : Human health and social work activities","Q","SIC 2007 section",36,16,"2","employee jobs","2","item",0,1,"20100","Value",378205,"A","Normal Value","F","Free (free for publication)","Nm-130d1d32316e0d2092957701d150994961d2d20100",81,100
