"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_STATUS","EMPLOYMENT_STATUS_NAME","EMPLOYMENT_STATUS_CODE","EMPLOYMENT_STATUS_TYPE","EMPLOYMENT_STATUS_TYPECODE","EMPLOYMENT_STATUS_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264188","46460 : Wholesale of pharmaceutical goods","46460","SIC 2007 subclass (5 digit)",32,394,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264188d0d3d1d3d20100",1183,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264188","46460 : Wholesale of pharmaceutical goods","46460","SIC 2007 subclass (5 digit)",32,394,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2250,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264188d0d4d1d3d20100",1184,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264198","46470 : Wholesale of furniture, carpets and lighting equipment","46470","SIC 2007 subclass (5 digit)",32,395,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",600,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264198d0d2d1d3d20100",1185,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264198","46470 : Wholesale of furniture, carpets and lighting equipment","46470","SIC 2007 subclass (5 digit)",32,395,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",125,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264198d0d3d1d3d20100",1186,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264198","46470 : Wholesale of furniture, carpets and lighting equipment","46470","SIC 2007 subclass (5 digit)",32,395,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",800,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264198d0d4d1d3d20100",1187,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264208","46480 : Wholesale of watches and jewellery","46480","SIC 2007 subclass (5 digit)",32,396,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264208d0d2d1d3d20100",1188,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264208","46480 : Wholesale of watches and jewellery","46480","SIC 2007 subclass (5 digit)",32,396,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264208d0d3d1d3d20100",1189,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264208","46480 : Wholesale of watches and jewellery","46480","SIC 2007 subclass (5 digit)",32,396,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",100,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264208d0d4d1d3d20100",1190,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264219","46491 : Wholesale of musical instruments","46491","SIC 2007 subclass (5 digit)",32,397,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264219d0d2d1d3d20100",1191,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264219","46491 : Wholesale of musical instruments","46491","SIC 2007 subclass (5 digit)",32,397,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264219d0d3d1d3d20100",1192,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264219","46491 : Wholesale of musical instruments","46491","SIC 2007 subclass (5 digit)",32,397,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264219d0d4d1d3d20100",1193,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264227","46499 : Wholesale of household goods (other than musical instruments) nec","46499","SIC 2007 subclass (5 digit)",32,398,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",1750,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264227d0d2d1d3d20100",1194,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264227","46499 : Wholesale of household goods (other than musical instruments) nec","46499","SIC 2007 subclass (5 digit)",32,398,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",400,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264227d0d3d1d3d20100",1195,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264227","46499 : Wholesale of household goods (other than musical instruments) nec","46499","SIC 2007 subclass (5 digit)",32,398,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2250,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264227d0d4d1d3d20100",1196,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264238","46510 : Wholesale of computers, computer peripheral equipment and software","46510","SIC 2007 subclass (5 digit)",32,399,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",1500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264238d0d2d1d3d20100",1197,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264238","46510 : Wholesale of computers, computer peripheral equipment and software","46510","SIC 2007 subclass (5 digit)",32,399,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",40,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264238d0d3d1d3d20100",1198,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264238","46510 : Wholesale of computers, computer peripheral equipment and software","46510","SIC 2007 subclass (5 digit)",32,399,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",1750,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264238d0d4d1d3d20100",1199,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264248","46520 : Wholesale of electronic and telecommunications equipment and parts","46520","SIC 2007 subclass (5 digit)",32,400,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",700,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264248d0d2d1d3d20100",1200,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264248","46520 : Wholesale of electronic and telecommunications equipment and parts","46520","SIC 2007 subclass (5 digit)",32,400,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264248d0d3d1d3d20100",1201,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264248","46520 : Wholesale of electronic and telecommunications equipment and parts","46520","SIC 2007 subclass (5 digit)",32,400,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",800,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264248d0d4d1d3d20100",1202,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264338","46610 : Wholesale of agricultural machinery, equipment and supplies","46610","SIC 2007 subclass (5 digit)",32,401,"2","Full-time employees","2","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",1750,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264338d0d2d1d3d20100",1203,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264338","46610 : Wholesale of agricultural machinery, equipment and supplies","46610","SIC 2007 subclass (5 digit)",32,401,"3","Part-time employees","3","Employment",1000,1,"1","Count","1","percent",1000,0,"20100","Value",175,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264338d0d3d1d3d20100",1204,2187
"2019","2019","2019","date",0,0,"2092957701","Scotland","S92000003","countries",499,0,"134264338","46610 : Wholesale of agricultural machinery, equipment and supplies","46610","SIC 2007 subclass (5 digit)",32,401,"4","Employment","4","Employment",1000,2,"1","Count","1","percent",1000,0,"20100","Value",2000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32304e1d2092957701d134264338d0d4d1d3d20100",1205,2187
